Airframes Frequency Stats by Region (2022-08-24 to 2022-09-24)
Contact: Kevin Elliott <kevin@airframes.io>
Website: https://airframes.io

This report describes the summation of messages received by Airframes from user station decoder
clients and is grouped by region, ingest, client, and frequency. It is ordered by the
region, ingest, client, frequency and then count.

NOTE: Some VDL frequencies (anything 136.x) are misclassified as ACARS because of an ingest
that previously accepted both ACARS and VDL decoder clients. This functionality is deprecated
but it will flaw this report for the time being. Simply expect that 136.x is VDL.

 country_code | source_type |    source    | frequency  | messages_count
--------------+-------------+--------------+------------+----------------
 AU           | acars       | acarsdec     |     131.55 |         139026
 AU           | acars       | acarsdec     |     131.45 |          22704
 AU           | acars       | acarsdec     |    131.525 |             30
 AU           | vdl         | vdlm2dec     |    136.975 |         213754
 AU           | vdl         | dumpvdl2     |    136.975 |           2280
 AU           | vdl         | vdlm2dec     |     131.55 |            545
 BR           | acars       | acarsdec     |          0 |         197578
 BR           | acars       | acarsdec     |     131.55 |          81737
 BR           | acars       | acarsdec     |    131.825 |            756
 BR           | acars       | acarsdec     |    131.725 |            128
 CA           | acars       | acarsdec     |     131.55 |         262951
 CA           | acars       | acarsdec     |     130.45 |         232400
 CA           | acars       | acarsdec     |    131.725 |         171614
 CA           | acars       | acarsdec     |    131.125 |         102003
 CA           | acars       | acarsdec     |    130.025 |          98358
 CA           | acars       | acarsdec     |    131.475 |          29365
 CA           | acars       | acarsdec     |    131.825 |           9793
 CA           | vdl         | vdlm2dec     |    136.975 |         403847
 CA           | vdl         | vdlm2dec     |    131.475 |         195516
 CA           | vdl         | vdlm2dec     |     131.55 |          56494
 CA           | vdl         | dumpvdl2     |    136.975 |          30409
 CA           | vdl         | vdlm2dec     |    130.025 |           6309
 CA           | vdl         | vdlm2dec     |     136.65 |           3211
 CA           | vdl         | vdlm2dec     |    131.825 |             65
 CA           | vdl         | vdlm2dec     |     130.45 |             38
 CA           | vdl         | vdlm2dec     |    130.425 |             26
 CA           | vdl         | vdlm2dec     |    131.125 |             21
 CH           | vdl         | vdlm2dec     |    136.975 |         717186
 CH           | vdl         | vdlm2dec     |    136.825 |         610770
 CH           | vdl         | vdlm2dec     |    136.775 |         358805
 CH           | vdl         | vdlm2dec     |    136.725 |         282272
 CH           | vdl         | vdlm2dec     |    136.875 |          22735
 CH           | vdl         | vdlm2dec     |      136.8 |              1
 DE           | acars       | acarsdec     |    131.825 |         214854
 DE           | acars       | acarsdec     |    131.725 |         145488
 DE           | acars       | acarsdec     |    131.525 |           9001
 DE           | acars       | acarsdec     |    130.825 |           4629
 DE           | acars       | acarsdec     |     131.85 |           4488
 DE           | acars       | acarsdec     |     131.55 |           1509
 DE           | acars       | acarsdec     |     130.85 |           1309
 DE           | hfdl        | dumphfdl     |     10.081 |         146719
 DE           | hfdl        | dumphfdl     |      8.942 |         116373
 DE           | hfdl        | dumphfdl     |      8.977 |          65583
 DE           | hfdl        | dumphfdl     |      8.948 |          44720
 DE           | hfdl        | dumphfdl     |     11.184 |          27730
 DE           | hfdl        | dumphfdl     |      6.661 |          22283
 DE           | hfdl        | dumphfdl     |     13.303 |          12077
 DE           | hfdl        | dumphfdl     |     13.276 |           8895
 DE           | hfdl        | dumphfdl     |       5.72 |           6857
 DE           | hfdl        | dumphfdl     |      8.912 |           5282
 DE           | hfdl        | dumphfdl     |     17.928 |           4645
 DE           | hfdl        | dumphfdl     |      13.27 |           3729
 DE           | hfdl        | dumphfdl     |     10.084 |           3434
 DE           | hfdl        | dumphfdl     |     11.348 |           3350
 DE           | hfdl        | dumphfdl     |     11.306 |           2490
 DE           | hfdl        | dumphfdl     |     21.955 |           2101
 DE           | hfdl        | dumphfdl     |      6.529 |           1364
 DE           | hfdl        | dumphfdl     |     11.387 |            926
 DE           | hfdl        | dumphfdl     |      8.894 |            879
 DE           | hfdl        | dumphfdl     |      6.559 |            729
 DE           | hfdl        | dumphfdl     |     10.063 |            690
 DE           | hfdl        | dumphfdl     |     10.027 |            676
 DE           | hfdl        | dumphfdl     |     13.315 |            631
 DE           | hfdl        | dumphfdl     |      8.834 |            606
 DE           | hfdl        | dumphfdl     |     13.342 |            600
 DE           | hfdl        | dumphfdl     |      8.939 |            568
 DE           | hfdl        | dumphfdl     |     13.351 |            562
 DE           | hfdl        | dumphfdl     |     10.093 |            538
 DE           | hfdl        | dumphfdl     |      10.06 |            442
 DE           | hfdl        | dumphfdl     |     21.949 |            336
 DE           | hfdl        | dumphfdl     |     11.318 |            333
 DE           | hfdl        | dumphfdl     |     21.928 |            170
 DE           | hfdl        | dumphfdl     |     13.321 |            146
 DE           | hfdl        | dumphfdl     |     17.919 |             88
 DE           | hfdl        | dumphfdl     |      8.927 |             85
 DE           | hfdl        | dumphfdl     |      6.535 |             63
 DE           | hfdl        | dumphfdl     |     11.312 |             56
 DE           | hfdl        | dumphfdl     |      5.655 |             36
 DE           | hfdl        | dumphfdl     |      8.957 |             32
 DE           | hfdl        | dumphfdl     |     13.324 |             30
 DE           | hfdl        | dumphfdl     |     21.997 |             26
 DE           | hfdl        | dumphfdl     |      6.619 |             26
 DE           | hfdl        | dumphfdl     |     21.931 |             12
 DE           | hfdl        | dumphfdl     |     17.916 |              6
 DE           | hfdl        | dumphfdl     |     17.958 |              3
 DE           | hfdl        | dumphfdl     |      5.544 |              3
 DE           | hfdl        | dumphfdl     |      5.508 |              3
 DE           | hfdl        | dumphfdl     |      6.589 |              1
 DE           | hfdl        | dumphfdl     |     21.937 |              1
 DE           | hfdl        | dumphfdl     |     13.312 |              1
 DE           | hfdl        | dumphfdl     |     17.934 |              1
 DE           | vdl         | dumpvdl2     |    136.775 |        2597233
 DE           | vdl         | dumpvdl2     |    136.825 |        2489948
 DE           | vdl         | dumpvdl2     |    136.975 |        1353205
 DE           | vdl         | dumpvdl2     |    136.725 |        1131902
 DE           | vdl         | dumpvdl2     |    136.875 |         156572
 DE           | vdl         | vdlm2dec     |    136.975 |          62292
 DE           | vdl         | dumpvdl2     |    136.675 |           6720
 DE           | vdl         | vdlm2dec     |    131.825 |           1674
 DE           | vdl         | dumpvdl2     |     136.65 |           1494
 DE           | vdl         | vdlm2dec     |    131.725 |           1243
 DE           | vdl         | vdlm2dec     |    131.525 |             29
 ES           | acars       | acarsdec     |          0 |              7
 DE           | vdl         | vdlm2dec     |    131.725 |           1243
 DE           | vdl         | vdlm2dec     |    131.525 |             29
 ES           | acars       | acarsdec     |          0 |              7
 ES           | hfdl        | dumphfdl     |      8.948 |             76
 ES           | hfdl        | dumphfdl     |     13.303 |             18
 ES           | hfdl        | dumphfdl     |     11.348 |             14
 ES           | vdl         | dumpvdl2     |    136.775 |             72
 ES           | vdl         | dumpvdl2     |    136.975 |             46
 ES           | vdl         | dumpvdl2     |    136.725 |             32
 FI           | acars       | acarsdec     |    131.725 |          74666
 FI           | acars       | acarsdec     |     131.85 |          22037
 FI           | acars       | acarsdec     |     131.55 |           5716
 FI           | acars       | acarsdec     |    131.525 |           4205
 FI           | acars       | acarsdec     |     130.85 |            153
 FI           | acars       | acarsdec     |    130.825 |            153
 FI           | vdl         | vdlm2dec     |    136.975 |         510299
 FI           | vdl         | vdlm2dec     |    136.875 |          10020
 FI           | vdl         | vdlm2dec     |    136.775 |           2383
 FI           | vdl         | vdlm2dec     |    136.725 |            316
 FR           | vdl         | dumpvdl2     |    136.975 |          13438
 FR           | vdl         | dumpvdl2     |      136.8 |             29
 GB           | acars       | acarsdec     |    131.825 |         188578
 GB           | acars       | acarsdec     |    131.725 |         126679
 GB           | acars       | acarsdec     |     131.85 |          13079
 GB           | acars       | acarsdec     |    131.525 |           5721
 GB           | acars       | acarsdec     |     131.55 |           2819
 GB           | acars       | acarsdec     |    131.475 |           2527
 GB           | acars       | acarsdec     |     130.85 |           1035
 GB           | acars       | acarsdec     |      131.5 |            958
 GB           | acars       | acarsdec     |    130.025 |            597
 GB           | acars       | acarsdec     |     130.45 |            530
 GB           | vdl         | dumpvdl2     |    136.975 |         820770
 GB           | vdl         | dumpvdl2     |    136.825 |         365093
 GB           | vdl         | dumpvdl2     |    136.775 |         254438
 GB           | vdl         | dumpvdl2     |    136.725 |          82564
 GB           | vdl         | vdlm2dec     |    136.975 |          56562
 GB           | vdl         | vdlm2dec     |    136.825 |          44614
 GB           | vdl         | vdlm2dec     |    136.775 |          21334
 GB           | vdl         | vdlm2dec     |    136.725 |          11412
 GB           | vdl         | dumpvdl2     |      136.8 |           4123
 GB           | vdl         | dumpvdl2     |    136.875 |           3949
 GB           | vdl         | dumpvdl2     | 136.725001 |            580
 GB           | vdl         | vdlm2dec     |    136.875 |             99
 GB           | vdl         | dumpvdl2     |      136.7 |             13
 GB           | vdl         | dumpvdl2     |    136.925 |              1
 IT           | acars       | acarsdec     |    131.725 |            702
 IT           | acars       | acarsdec     |    131.825 |            363
 IT           | acars       | acarsdec     |    131.525 |              7
 IT           | acars       | acarsdec     |     131.85 |              3
 IT           | vdl         | dumpvdl2     |    136.975 |          26608
 IT           | vdl         | dumpvdl2     |    136.775 |           8576
 IT           | vdl         | dumpvdl2     |    136.725 |           2016
 IT           | vdl         | dumpvdl2     |    136.825 |             30
 JP           | hfdl        | dumphfdl     |     21.928 |         327171
 JP           | hfdl        | dumphfdl     |     21.949 |         199734
 JP           | hfdl        | dumphfdl     |     21.931 |         168976
 JP           | hfdl        | dumphfdl     |     21.937 |         143061
 JP           | hfdl        | dumphfdl     |      10.06 |          83827
 JP           | hfdl        | dumphfdl     |     10.027 |          28131
 JP           | hfdl        | dumphfdl     |      8.939 |          25821
 JP           | hfdl        | dumphfdl     |      8.927 |          25375
 JP           | hfdl        | dumphfdl     |     17.958 |          10511
 JP           | hfdl        | dumphfdl     |     10.084 |          10252
 JP           | hfdl        | dumphfdl     |     11.306 |           8894
 JP           | hfdl        | dumphfdl     |     10.081 |           8381
 JP           | hfdl        | dumphfdl     |     17.919 |           6945
 JP           | hfdl        | dumphfdl     |      8.942 |           5050
 JP           | hfdl        | dumphfdl     |     21.955 |           2883
 JP           | hfdl        | dumphfdl     |     11.312 |           2594
 JP           | hfdl        | dumphfdl     |     17.916 |           1876
 JP           | hfdl        | dumphfdl     |      13.27 |           1790
 JP           | hfdl        | dumphfdl     |      8.977 |           1726
 JP           | hfdl        | dumphfdl     |      6.652 |           1724
 JP           | hfdl        | dumphfdl     |     21.997 |           1241
 JP           | hfdl        | dumphfdl     |     13.342 |           1060
 JP           | hfdl        | dumphfdl     |     10.093 |            837
 JP           | hfdl        | dumphfdl     |     17.934 |            592
 JP           | hfdl        | dumphfdl     |      5.655 |            572
 JP           | hfdl        | dumphfdl     |     21.934 |            437
 JP           | hfdl        | dumphfdl     |     17.928 |            287
 JP           | hfdl        | dumphfdl     |     11.184 |            283
 JP           | hfdl        | dumphfdl     |     11.387 |            197
 JP           | hfdl        | dumphfdl     |      8.957 |            182
 JP           | hfdl        | dumphfdl     |     11.348 |            167
 JP           | hfdl        | dumphfdl     |     17.985 |             91
 JP           | hfdl        | dumphfdl     |     13.303 |             84
 JP           | hfdl        | dumphfdl     |     13.276 |             47
 JP           | hfdl        | dumphfdl     |      6.559 |             28
 JP           | hfdl        | dumphfdl     |      8.834 |             25
 JP           | hfdl        | dumphfdl     |     13.351 |             22
 JP           | hfdl        | dumphfdl     |      6.565 |             17
 JP           | hfdl        | dumphfdl     |     10.075 |             17
 JP           | hfdl        | dumphfdl     |      8.912 |             14
 JP           | hfdl        | dumphfdl     |      5.508 |             14
