Airframes Frequency Stats by Region (2023-09-20 to 2023-10-20)
Contact: Kevin Elliott <kevin@airframes.io>
Website: https://airframes.io

This report describes the summation of messages received by Airframes from user station decoder
clients and is grouped by region, ingest, client, and frequency. It is ordered by the
region, ingest, client, frequency and then count.

Some discrepancies have been removed (such as very low counts, which are likely due to frequency image ghosting).

 country_code | source_type   | source             | frequency | messages_count
--------------+---------------+--------------------+-----------+----------------
 AR           | acars         | acarsdec           |   131.725 |         118355
 AR           | acars         | acarsdec           |    131.55 |          48648
 AR           | acars         | acarsdec           |   131.525 |            877
 AR           | acars         | acarsdec           |   131.825 |             91
 AU           | acars         | acarsdec           |    131.55 |         623029
 AU           | acars         | acarsdec           |    131.45 |         177520
 AU           | acars         | acarsdec           |   131.425 |          16234
 AU           | acars         | acarsdec           |    130.45 |            627
 AU           | acars         | acarsdec           |    130.85 |            376
 AU           | acars         | acarsdec           |   131.525 |            358
 AU           | acars         | acarsdec           |   130.825 |            332
 AU           | acars         | acarsdec           |   131.475 |            306
 AU           | acars         | acarsdec           |   130.425 |            287
 AU           | acars         | acarsdec           |    131.85 |            237
 AU           | acars         | acarsdec           |   131.125 |            191
 AU           | acars         | acarsdec           |   131.825 |            175
 AU           | acars         | acarsdec           |   131.725 |            136
 AU           | acars         | acarsdec           |   130.025 |             73
 AU           | aero-acars    | jaero-l-band-acars |           |        2130818
 AU           | aero-acars    | jaero-c-band-acars |           |        1418312
 AU           | hfdl          | dumphfdl           |    21.928 |          93264
 AU           | hfdl          | dumphfdl           |    21.931 |          72082
 AU           | hfdl          | dumphfdl           |    17.916 |          59049
 AU           | hfdl          | dumphfdl           |    21.949 |          41535
 AU           | hfdl          | dumphfdl           |    17.958 |          33411
 AU           | hfdl          | dumphfdl           |    21.937 |          26344
 AU           | hfdl          | dumphfdl           |    21.997 |          23451
 AU           | hfdl          | dumphfdl           |    11.306 |          15112
 AU           | hfdl          | dumphfdl           |    10.084 |          13423
 AU           | hfdl          | dumphfdl           |    13.351 |           6588
 AU           | hfdl          | dumphfdl           |    17.919 |           6246
 AU           | hfdl          | dumphfdl           |    21.955 |           5758
 AU           | hfdl          | dumphfdl           |    21.934 |           5326
 AU           | hfdl          | dumphfdl           |     10.06 |           2962
 AU           | hfdl          | dumphfdl           |     8.939 |           2484
 AU           | hfdl          | dumphfdl           |    17.928 |           1980
 AU           | hfdl          | dumphfdl           |    10.027 |           1809
 AU           | hfdl          | dumphfdl           |    13.324 |           1722
 AU           | hfdl          | dumphfdl           |    13.342 |            767
 AU           | hfdl          | dumphfdl           |     8.927 |            647
 AU           | hfdl          | dumphfdl           |    11.312 |            529
 AU           | hfdl          | dumphfdl           |    11.184 |            526
 AU           | hfdl          | dumphfdl           |    13.276 |            500
 AU           | hfdl          | dumphfdl           |    11.348 |            474
 AU           | hfdl          | dumphfdl           |     6.535 |            458
 AU           | hfdl          | dumphfdl           |    11.387 |            432
 AU           | hfdl          | dumphfdl           |     8.942 |            214
 AU           | hfdl          | dumphfdl           |    11.318 |            203
 AU           | hfdl          | dumphfdl           |    10.081 |            194
 AU           | hfdl          | dumphfdl           |     5.655 |            178
 AU           | hfdl          | dumphfdl           |    13.315 |            129
 AU           | hfdl          | dumphfdl           |    13.303 |             33
 AU           | hfdl          | dumphfdl           |     5.583 |             27
 AU           | hfdl          | dumphfdl           |     8.912 |             14
 AU           | hfdl          | dumphfdl           |     6.559 |             12
 AU           | iridium-acars | iridium-toolkit    |           |           4143
 AU           | vdl           | dumpvdl2           |   136.975 |         356496
 AU           | vdl           | vdlm2dec           |   136.975 |         121372
 AU           | vdl           | vdlm2dec           |    131.55 |          74241
 AU           | vdl           | vdlm2dec           |    131.45 |          25267
 AU           | vdl           | vdlm2dec           |   131.525 |            406
 AU           | vdl           | vdlm2dec           |    131.85 |            250
 AU           | vdl           | vdlm2dec           |   131.475 |            199
 BG           | acars         | acarsdec           |   131.725 |          47780
 BG           | acars         | acarsdec           |   131.825 |          30526
 BG           | acars         | acarsdec           |    131.85 |             76
 BG           | acars         | acarsdec           |    131.55 |             36
 BG           | vdl           | dumpvdl2           |   136.975 |        1042955
 BG           | vdl           | dumpvdl2           |   136.825 |         598519
 BG           | vdl           | dumpvdl2           |   136.875 |          12647
 BG           | vdl           | dumpvdl2           |   136.775 |           8158
 BG           | vdl           | dumpvdl2           |   136.925 |            394
 BG           | vdl           | dumpvdl2           |   136.725 |             77
 BR           | acars         | acarsdec           |         0 |         112930
 BR           | acars         | acarsdec           |    131.55 |         101349
 BR           | acars         | acarsdec           |   131.525 |           5157
 BR           | acars         | acarsdec           |   131.725 |           2245
 BR           | acars         | acarsdec           |    130.45 |           1658
 BR           | acars         | acarsdec           |   131.825 |            770
 BR           | acars         | acarsdec           |   131.125 |            651
 BR           | acars         | acarsdec           |    129.95 |            248
 BR           | acars         | acarsdec           |   130.025 |            147
 BR           | vdl           | dumpvdl2           |   136.975 |         557767
 CA           | acars         | acarsdec           |    131.55 |         597868
 CA           | acars         | acarsdec           |   131.475 |         467006
 CA           | acars         | acarsdec           |   130.025 |         263596
 CA           | acars         | acarsdec           |   131.825 |         252164
 CA           | acars         | acarsdec           |   131.125 |          91242
 CA           | acars         | acarsdec           |   131.725 |          66225
 CA           | acars         | acarsdec           |   131.525 |          61378
 CA           | acars         | acarsdec           |    130.45 |          27100
 CA           | acars         | acarsdec           |   130.425 |          12546
 CA           | aero-acars    | jaero-c-band-acars |           |          30087
 CA           | hfdl          | dumphfdl           |     8.977 |          84875
 CA           | hfdl          | dumphfdl           |     8.942 |          83702
 CA           | hfdl          | dumphfdl           |    10.063 |          40875
 CA           | hfdl          | dumphfdl           |    21.931 |          39327
 CA           | hfdl          | dumphfdl           |     8.912 |          36192
 CA           | hfdl          | dumphfdl           |    10.081 |          32952
 CA           | hfdl          | dumphfdl           |    21.955 |          25755
 CA           | hfdl          | dumphfdl           |    21.934 |          24265
