MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
201100134,8402591,In Service,RAFAELO I,ZADM5,General Cargo,1985-11,"1,473",,5199561,
201100136,8918291,In Service,KRISTI 1,ZADL6,General Cargo,1992-03,"2,033",,5423591,
201100143,7922233,In Service,OPEN BALKAN,ZADH6,Fishing,1980-09,699,,5155117,
201100180,9406142,In Service,DYRRAH II,ZADN2,Tug,2007-04,484,,1485357,
203698200,,Not Found,HULDA,OEX5554,Sailing,,,,,
203868100,,Not Found,TINA-ANNA,OEX2468,Tug,,,,,
204204780,,Not Found,PEROLA DO BOM JESUS,CUSO7,Fishing,,,,,
204233000,9156008,In Service,NOVO LAGOAL,CUKY7,Fishing,1998-06,157,,4047168,
204701370,9690482,Total Loss,MESTRE SIMAO,CSLX,Passenger,2013,748,,,
204701390,9690494,In Service,GILBERTO MARIANO,CSMG,Passenger,2013-12,748,,4119655,
204708000,9164548,In Service,FURNAS,CSBK,General Cargo,1998-06,"4,450",,5940031,
204709000,9381275,In Service,CORVO,CSBH,General Cargo,2007-07,"7,064",,5940031,
205001000,,Not Found,UNION SAPPHIRE,ORLL,Tug,,,,,
205003000,,Not Found,BOCHEM OSLO,ONKQ,Oil/Chemical Tanker,,,,,
205038000,8706583,In Service,POMPEI,ORWC,Dredger,1988-10,"1,482",,0178005,
205044000,,Not Found,EDT YAM,ORSH,Dredger,,,,,
205048000,7817165,In Service,DI 68,,Motor Hopper,1978-10,860,,0134894,
205049000,7817177,In Service,DI 69,,Motor Hopper,1978-12,860,,0134894,
205050000,9280689,In Service,MARANT,,General Cargo,2006-07,"2,461",,5979269,
205058100,9253636,In Service,LAILA-M,OT3793,General Cargo,2002-12,,,4257075,
205062000,7606293,Broken Up,ATLANTICO DUE,ORUW,Dredger,1997,"4,722",Belgium,,
205067000,8117471,Broken Up,PRESIDENT HUBERT,ORLD,Tug,1982,"1,738",Belgium,,
205072000,9622681,In Service,SIMON STEVIN,ORBS,Research,2012-05,458,Belgium,5490923,
205073000,,Not Found,NEWTON,ONHV,Oil Tanker,,,,,
205085000,9521461,Laid-Up,SLOEBER,ORPK,Dredger,2010,"2,427",Belgium,,
205092000,,Not Found,GEELVINCK,ORUD,Dredger,,,,,
205093000,,Not Found,NIJPTANGH,ORWE,Dredger,,,,,
205094000,9890123,In Service,51,ORNP,Tug,2021-02,327,Belgium,0162181,
205112000,8402187,In Service,TER STREEP,ORDJ,Research,1985-10,643,Belgium,0120379,
205114000,8600909,In Service,MANZANILLO II,,Dredger,1988-06,"5,333",Democratic Republic of the Congo,6193003,
205126000,,Not Found,ALLIGATOR,ORTA,Utility,,,,,
205127000,9919503,In Service,FRANSON,OPDM,Fishing,2021-10,384,Belgium,5114229,
205130000,9871294,In Service,BELGICA,ORCO,Research,2021-12,"3,722",Belgium,6271940,
205132000,,Not Found,RAMBIZ,ORKA,Crane,,,,,
205138000,9917268,In Service,ARAVIS,OPDU,Fishing,2022-03,240,Belgium,5506964,
205146000,9247467,In Service,UILENSPIEGEL,ORMZ,Dredger,2002-10,"12,979",Belgium,0134894,
205148000,9149641,In Service,INGRID,OPNL,Fishing,1996,104,Belgium,4037780,
205174000,,Not Found,SIMONE,ONIB,Oil Tanker,,,,,
205175000,9083249,In Service,PINTA,ORWK,Dredger,1995-06,"3,258",Belgium,6075206,
205194000,,Not Found,METHANIA,ONAE,Oil Tanker,,,,,
