"RegistrationMark",Manufacturer,Model,Serial Number,Registered Owner,Date of Registration
VP-CAA,Mcdonnell Douglas,DC-9-87 (MD-87),49767,Augusta Aviation (Cayman) Inc.,26/Aug/21
VP-CAC,Airbus Industrie,A330-243,1053,Boston Air Limited,26/Nov/09
VP-CAD,Boeing,737-2W8,22628,BB 11 LTD,29/Jan/21
VP-CAE,"Gulfstream Aerospace Corporation",GV-SP (G550),5051,KC-Aviation Limited,31/Dec/19
VP-CAF,Bombardier Inc.,BD-700-1A10,9686,AT21 International Limited,28/Jan/16
VP-CAJ,Airbus Helicopters,EC 225 LP,2681,Willmington Trust SP Services (Dublin) Limited,18/Dec/18
VP-CAL,The Boeing Company,777-2KQLR,40753,MONTKAJ LTD.,3/Nov/10
VP-CAN,Embraer S.A.,"EMB-135BJ (Legacy 600)",14501075,AlNahla Aviation Co.,4/May/22
VP-CAO,Airbus Helicopters,MBB-BK177 D-2,20182,Royal Cayman Islands Police Service,25/Mar/19
VP-CAP,"Gulfstream Aircraft Corporation",GIV-X (G350),4040,Gulf Aero Asean Ltd.,30/Nov/16
VP-CAQ,Boeing,737-2V6,22431,Fluffy CAQ,16/Aug/21
VP-CAR,"Gulfstream Aircraft Corporation",GV (G550),577,Challenger Aero Cayman,20/Jan/16
VP-CAS,Bombardier,CL-600-2B16 (CL604),5500,International Gate Company,25/Apr/22
VP-CAT,"Airbus Helicopters Deutschland GmbH",MBB-BK117 D-3,21047,Bayside Systems Limited,10/Nov/21
VP-CAU,Boeing,787-9,62725,Celestial Aviation Trading 15 Limited,18/Mar/20
VP-CAY,Dassault Aviation,Mystere Falcon 900,148,10369098 Canada Inc.,21/Apr/22
VP-CAZ,"Airbus Helicopters Deutschland",MBB-BK 117 D-2,20049,Alexander Zanadvorov,18/Jan/22
VP-CBA,Bombardier,BD-700-1A10,9771,Eden Jets Ltd,3/Apr/18
VP-CBB,Airbus Industrie,A330-243,509,LSA INVESTMENT LTD.,22/Jul/22
VP-CBD,Airbus Industrie,A330-243,525,LSA INVESTMENT LTD.,22/Jul/22
VP-CBE,Airbus Industrie,A330-243,491,LSA INVESTMENT LTD.,22/Jul/22
VP-CBG,Airbus Industrie,A321-211,1607,Zindell Limited,24/Nov/21
VP-CBH,The Boeing Company,MD-82,53577,Mineralogy Pty. Ltd.,25/Sep/07
VP-CBI,The Boeing Company,MD-82,53581,Mineralogy Pty. Ltd.,10/Jul/08
VP-CBJ,Airbus Industrie,A321-231,1928,"WWTAI AirOpCo II Designated Activity Company",27/Apr/21
VP-CBK,"Gulfstream Aircraft Corporation",GV-SP (G550),5628,Nephele Aviation Designated Activity Company,30/Jun/21
VP-CBL,Airbus Industrie,A321-211,1023,UMBF Trust and Agency Services (Ireland) Limited,5/Jul/22
VP-CBN,"Gulfstream Aircraft Corporation",GV-SP (G550),5197,MFG Aviation II Limited,1/Apr/21
VP-CBO,Airbus Industrie,A321-211,1094,UMBF Trust and Agency Services (Ireland) Limited,5/Jul/22
VP-CBP,"Gulfstream Aircraft Corporation",G650ER,6379,Blue 50 Limited,23/Dec/19
VP-CBR,Saab,340B,340B-451,Cayman Airways Express Ltd.,25/Apr/19
VP-CBS,Airbus Industrie,A320-211,926,UMBF Trust and Agency Services (Ireland) Limited,5/Jul/22
VP-CBT,Dassault Aviation,Falcon 7X,139,Clumber Consultancy S.A.,29/Mar/19
VP-CBU,Airbus Industrie,A321-231,1670,UMBF Trust and Agency Services (Ireland) Limited,10/Nov/21
VP-CBY,Dassault Aviation,Falcon 7X,204,IFLL Invicta Finance Leasing II Limited,21/Jun/22
VP-CCC,Embraer S.A.,ERJ 190-100 ECJ,19000278,International Commodities Holdings Ltd.,22/Dec/14
VP-CCD,Embraer,EMB-550,55020118,Radic Aviation,27/Dec/19
VP-CCI,Dassault Aviation,Falcon 7X,120,Wah Yan Investments Holdings Limited,18/May/18
VP-CCM,"Piper Aircraft, Inc.",PA-23-250 (Aztec),27-4701,Chris Louis McCoy,29/Jul/05
VP-CCP,Airbus Industrie,A330-243,967,ACG Aircraft Leasing Ireland Limited,20/May/22
VP-CCV,Airbus Industrie,A320-214,4730,Celestial Aviation Trading 64 Limited,29/Sep/20
VP-CCW,"Gulfstream Aircraft Corporation",GVI (G650ER),6122,Regent Castle Limited,4/Nov/15
VP-CCX,Airbus Industrie,A320-214,4733,Celestial Aviation Trading 64 Limited,29/Sep/20
VP-CCY,"Gulfstream Aircraft Corporation",GVI (G650ER),6194,Sky Reward Global Group Limited,8/Aug/16
VP-CCZ,Airbus Industrie,A320-214,4924,Celestial Aviation Trading 64 Limited,29/Sep/20
VP-CDC,Airbus Industrie,A320-214,4933,Celestial Aviation Trading 64 Limited,29/Sep/20
VP-CDD,Airbus Industrie,A320-214,5665,Start Ireland Leasing 3 Limited,25/May/20
VP-CDE,"Gulfstream Aircraft Corporation",GIV-X (G450),4314,Decent Aviation Limited,20/Aug/20
VP-CDH,Airbus Industrie,A320-214,5867,LAF Leasing Ireland 3 Limited,30/Jul/20
VP-CDI,Airbus Industrie,A320-214,5878,LAF Leasing Ireland 3 Limited,25/May/20
VP-CDK,Airbus Helicopters,EC 175 B,5044,Larmeo Limited,16/Jan/20
VP-CDM,Boeing,737-85P,33975,ATACAMA AIRCRAFT-1 LIMITED,4/Apr/22
VP-CDP,Bombardier,"BD-700-1A11 (Global 5000)",9690,AB Air Holdings,26/Jan/21
VP-CDR,"Airbus Helicopters Deutschland",MBB BK117 D-2,20272,Bovingdon Holding Limited,10/Nov/20
VP-CDZ,Bombardier,BD-700-1A10,60002,LSFL Cayman Company Limited,23/Jun/20
