"National
registration
identification/ Registration mark",Type of the Aircraft,Serial number/ S erial number,Owner of the Aircraft / Owner of the Aircraft,Operator of the Aircraft
ES - MAG,Airbus A320,2303,Cross Ocean Aviation 7 Designated Activity Company,Magnetic MRO AS
ES - NAB,Airbus A320,4347,Wilmington Trust SP Services (Dublin) Limited,Nordic Aviation Group AS
ES - SAM,Airbus A320,1896,Global Principal Finance Company LLC,SmartLynx Airlines Estonia OÜ
ES - SAA,Airbus A320,3631,Celestial ECA Trading 1 Limited,SmartLynx Airlines Estonia OÜ
ES - SAB,Airbus A320,3644,Celestial ECA Trading 1 Limited,SmartLynx Airlines Estonia OÜ
ES - SAG,Airbus 320,5407,GAT Aircraft and Engine Leasing Limited,SmartLynx Airlines Estonia OÜ
ES - SAD,Airbus A320,5931,GAT Aircraft and Engine Leasing Limited,SmartLynx Airlines Estonia OÜ
ES - SAZ,Airbus A320,1725,Celestial Aviation Trading 23 Limited,SmartLynx Airlines Estonia OÜ
ES - SAW,Airbus A320,1663,ACS Aero 2 Omega Limited,SmartLynx Airlines Estonia OÜ
ES - SAX,Airbus A320,3954,Start Ireland Leasing 1 Limited,SmartLynx Airlines Estonia OÜ
ES - SAY,Airbus A320,2689,Jackson Square Aviation Ireland Limited,SmartLynx Airlines Estonia OÜ
ES - ACB,Bombardier CL-600-2D24,15261,Transporti Varahaldus OÜ,Regional Jet OÜ
ES - ACC,Bombardier CL-600-2D24,15262,Transporti Varahaldus OÜ,Regional Jet OÜ
ES - ACD,Bombardier CL-600-2D24,15276,Transporti Varahaldus OÜ,Nordic Aviation Group AS
ES - ACG,Bombardier CL-600-2D24,15277,Transporti Varahaldus OÜ,Regional Jet OÜ
ES - ACJ,Bombardier CL-600-2D24,15250,Transporti Varahaldus OÜ,Regional Jet OÜ
ES - ACK,Bombardier CL-600-2D24,15211,Transporti Varahaldus OÜ,Regional Jet OÜ
ES - ACM,Bombardier CL-600-2D24,15206,Transporti Varahaldus OÜ,Regional Jet OÜ
