#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
1,DQ-FED,DE-HAVILLAND AIRCRAFT COMPANY LTD. HATFIELD -UK,DE-HAVILLAND-HERON DH114-2X (RILEY CON),,14061,FIJI AIR LTD,"P.O. BOX 1259, SUVA"
2,DQ-FEE,DE-HAVILLAND AIRCRAFT COMPANY LTD. HATFIELD -UK,DE-HAVILLAND-HERON DH114-2X,,14057,FIJI AIR LTD,"P.O. BOX 1259, SUVA"
3,DQ-FEI,THE CESSNA AIRCRAFT COMPANY,CESSNA 152,100,152-81003,SUNFLOWER AIRLINES,"P.O. BOX 9452, NADI AIRPORT"
4,DQ-FET,BRITTEN NORMAN LTD-ENGLAND,BN2A-20 ISLANDER,,C661,FIJI AIR LTD,"P.O. BOX 1259, SUVA"
5,DQ-FEX,CESSNA LTD,CESSNA 206G,200,U20605706,TURTLE ISLAND AIRWAYS,WAILOLOA BEACH
,,,,,,,NEW TOWN
,,,,,,,PO BOX 9317
,,,,,,,NADI AIRPORT
6,DQ-FFT,CESSNA AIRCRAFT CORP-USA,CESSNA 172RG,100,172RG0921,ADVANCE AVIATION TRAINING (FIJI) LTD,PO BOX 10864
,,,,,,,NADI AIRPORT
,,,,,,,
7,DQ-DBV,"B-N GROUP LTD, BEMBRIDGE, ISLE OF WIGHT, ENGLAND PO35 5PR",BN2A-26,,164,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
8,DQ-MCE,"B-N GROUP LTD, BEMBRIDGE, ISLE OF WIGHT, ENGLAND PO35 5PR",BN2A-26,,724,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
9,DQ-BEK,ZENITH AIRCRAFT COMPANY,ZENITH STOL CH701,-,7-10169,HIBISCUS AIR LTD,3 SCOTT ST
,,,,,,,"P.O. BOX 2475, GOV BLDG, SUVA"
10,DQ-FAB,BOEING,BOEING B737 MAX,-8,64307,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
11,DQ-FAD,BOEING,BOEING B737 MAX,-8,64308,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
12,DQ-FLA,VIKING AIR LIMITED CANADA,DHC-6 TWIN OTTER,-400,968,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
13,DQ-FAI,AIRBUS S.A.S FRANCE,AIRBUS 350 XWB,900,299,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
14,DQ-FAJ,AIRBUS S.A.S FRANCE,AIRBUS 350 XWB,900,320,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
15,DQ-HPT,ROBINSON HELICOPTER,R44 RAVEN II,,11907,PARKER EQUIPMENT HIRE LTD,PARKER EQUIPMENT HIRE LIMITED
,,,,,,,4 ONEVA ESTATE
,,,,,,,SAVUSAVU
,,,,,,,FIJI
16,DQ-VAT,"ROBINSON HELICOPTER COMPANY, TURRANCE CALIFONIA",R44 RAVEN II,,11811,TRIVEST INTERNATIONAL LIMITED,TRIVEST INTERNATIONAL LTD
,,,,,,,VATULELE ISLAND RESORT
,,,,,,,VATULELE
17,DQ-FTI,CESSNA AIRCRAFT COMPANY,CESSNA A152,100,A152-0955,SUNFLOWER AVIATION LIMITED,P.O. BOX 9452
,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
18,DQ-SWI,AEROPRAKT LTD,FOXBAT A22LS,-,264,SKYWARD INDUSTRIES LTD,"UNIT 2, KABANI RD,"
,,,,,,,NADI AIRPORT
19,DQ-SPA,TEXTRON AVIATION INC.,CESSNA 172N,100,172-72877,NORTHERN AIR SERVICES CHARTERS LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
20,DQ-SPI,TEXTRON AVIATION INC.,CESSNA 172M,100,172-63971,NORTHERN AIR SERVICES CHARTERS LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
21,DQ-SPT,TEXTRON AVIATION INC.,CESSNA 172M,100,172-66365,NORTHERN AIR SERVICES CHARTERS LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
22,DQ-SPS,TEXTRON AVIATION INC,CESSNA 172M,100,172-63532,NORTHERN AIR SERVICES CHARTERS LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
23,DQ-FHC,HARBIN AIRCRAFT MANUFACTURES COMPANY,HARBIN Y-12,,56,FIJI AIR LTD,"P.O. BOX 1259, SUVA"
24,DQ-FHF,HARBIN AIRCRAFT MANUFACTURES COMPANY,HARBIN Y12 MK II,,OO47,FIJI AIR LTD,"P.O. BOX 1259, SUVA"
25,DQ-KBD,PACIFIC AEROSPACE LIMITED,PAC 750 XL,,169,ISLAND HOPPERS LIMITED,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
26,DQ-KBP,PACIFIC AEROSPACE LIMITED,PAC 750 XL,,178,ISLAND HOPPERS LIMITED,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
27,DQ-BBT,CESSNA AIRCRAFT COMPANY,CESSNA C150M,100,15077742,ADVANCE AVIATION TRAINING FIJI LTD,"P.O. BOX 10864, NADI AIRPORT, FIJI"
28,DQ-CCT,CESSNA AIRCRAFT COMPANY,CESSNA C150M,100,15077265,ADVANCE AVIATION TRAINING FIJI LTD,"P.O. BOX 10864, NADI AIRPORT, FIJI"
29,DQ-YYT,CESSNA AIRCRAFT COMPANY,CESSNA C172N,100,17271730,ADVANCE AVIATION TRAINING FIJI LTD,"P.O. BOX 10864, NADI AIRPORT, FIJI"
30,DQ-PIA,DE-HAVILLAND,DHC-3T SINGLE OTTER,,115,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
31,DQ-HTM,AEROSPATIALE,AEROSPATIALE AS 355 F1,,5158,JOYCE AVIATION (FIJI) LTD TRADING AS HELITOURS FIJI,"P.O. BOX 97, PORT DENARAU, FIJI"
32,DQ-PFS,BEECHCRAFT,BEECHCRAFT 76,,ME-188,TANDEM SKYDIVE (FIJI) LTD,11 ZAHOOR ROAD
,,,,,,,"MARTINTAR, NADI, FIJI"
33,DQ-OMO,VIKING AIR LIMITED,DHC-6 TWIN OTTER,-400,923,KOKOMO RESORT LIMITED,"OLD GOVERNMENT SUPPLIES YARD, FOSTER STREET, P.O. BOX 3558, WALU BAY, SUVA, FIJI"
34,DQ-HUE,BELL HELICOPTERS TEXTRON INC.,BELL 212,,30655,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
35,DQ-WPG,"CESSNA AIRCRAFT CO WICHITA, USA",CESSNA 208B GRAND CARAVAN,200,208B5007,ACK AIR PTE LIMITED,"LEVEL 6, FNPF PLAZA, VICTORIA PARADE, SUVA, FIJI"
36,DQ-MIS,CESSNA AIRCRAFT CO.,CESSNA U206F,200,U20602273,HIBISCUS AIR LTD,"P.O. BOX 11131, NADI AIRPORT"
