Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"150 XL";"Annex I";"Airplanes";"1";"1";"850,00";"False";"False";"False";"1";"1";"EXPE";"1968";"29.06.1987";"";"Textron Lycoming";"Lycoming IO-320-B1A";"";"";"";"";"";"";
"150D Mod.";"Annex I";"Airplanes";"1";"1";"726,00";"False";"False";"False";"1";"1";"C150";"1964";"29.08.1983";"";"Teledyne Continental";"Continental O-200-A";"";"";"";"";"";"";
"175C";"Annex I";"Airplanes";"1";"3";"1111,00";"False";"False";"False";"1";"1";"EXPE";"1962";"04.05.1992";"Sweden";"Textron Lycoming";"Lycoming IO-360-A1A";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1981";"18.05.2016";"Sweden";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1980";"23.01.2008";"Italy";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1977";"11.06.2013";"Sweden";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"480 B";"EASA";"Helicopters";"1";"0";"1361,00";"False";"False";"False";"1";"";"EN48";"2005";"26.07.2013";"Slovenia";"Rolls-Royce Ltd";"250-C20W";"";"";"";"";"";"";
"680FL";"EASA";"Airplanes";"1";"10";"3855,00";"False";"False";"False";"2";"2";"AC68";"1963";"11.07.1984";"Estonia";"AVCO Lycoming Division";"IGSO-540-B1A";"AVCO Lycoming Division";"IGSO-540-B1A";"";"";"";"";
"892A Mod.";"Annex I";"Airplanes";"1";"3";"980,00";"False";"False";"False";"1";"1";"RALL";"1970";"07.01.1971";"France";"Textron Lycoming";"Lycoming XP-360-A1A";"";"";"";"";"";"";
"8GCBC Mod.";"Annex I";"Airplanes";"1";"1";"976,00";"False";"False";"False";"1";"1";"BL8";"1974";"09.05.2007";"";"Textron Lycoming";"Lycoming O-360-C2E";"";"";"";"";"";"";
"A152 Mod.";"Annex I";"Airplanes";"1";"1";"850,00";"False";"False";"False";"1";"1";"C152";"1978";"22.06.2006";"";"Textron Lycoming";"Lycoming O-320-D2A";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2007";"07.05.2008";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"11.06.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"10.07.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"10.07.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
