number,reg_mark,tc_holder,description,mtom_kg,pax_no,operator_name,operator_address_line1,operator_address_line2,operator_city,operator_postal_code,operator_country,manufacturer_serial_number,classification
2003,3EI,Honda Aircraft Company,HA-420,5035,,Elitavia Malta Limited,Safi Aviation Park,Triq Carmelo Caruana,Safi,SFI 1721,Malta,42000208,Aeroplane (land)
1823,649FX,Gulfstream Aerospace Corp.,GVI (G650),46992,,Flexjet Operations Malts Ltd.,18B Locker Street,,Sliema,SLM 3123,Malta,6134,Aeroplane (land)
1911,777MF,Gulfstream Aerospace LP,Gulfstream 200,16080,,Luxwing Ltd,15 Mannarinu Road,Level 2,Birkirkara,BKR 9080,Malta,225,Aeroplane (land)
41,ABW,Piper Aircraft Inc.,Piper PA-28-160,998,4,,,,,,Malta,28-586,Aeroplane (land)
62,ACL,Textron Aviation Inc.,Cessna 172M,1043,4,,,,,,Malta,17260955,Aeroplane (land)
1584,ACX,Airbus S.A.S.,A340-313,275000,,,,,,,Malta,544,Aeroplane (land)
1583,ACY,Airbus S.A.S.,A340-313,275000,,,,,,,Malta,582,Aeroplane (land)
1589,ACZ,Airbus S.A.S.,A340-313,275000,,,,,,,Malta,590,Aeroplane (land)
105,ADX,Reno Psaila,RP-KESTREL,703,1+1,,,,,,Malta,001-PFA262-12665,Microlight
107,AEB,Piper Aircraft Inc.,Piper PA-34-200T,1999,6,,,,,,Malta,34-7870066,Aeroplane (land)
139,AEP,Airbus S.A.S.,A320-214,75500,168+9,,,,,,Malta,3056,Aeroplane (land)
140,AEQ,Airbus S.A.S.,A320-214,75500,168+9,,,,,,Malta,3068,Aeroplane (land)
2158,AER,Airbus S.A.S.,A320-214,75500,168+9,,,,,,Malta,02178,Aeroplane (land)
127,AEV,Diamond Aircraft Industries GmbH,DA 42 M,1785,4,Siraj Holding S.A.L.,Fanar - Main Street - Real Estate,Number 19 / Setraco Building,Beirut,,Lebonon,42.234,Aeroplane (land)
136,AEX,,,,,,,,,,Malta,1023,Aeroplane (land)
148,AFD,,,,,,,,,,Malta,458,Aeroplane (land)
151,AFH,,,,,,,,,,Malta,UE-372,Aeroplane (land)
1706,AFX,,,,,,,,,,Malta,55000028,Aeroplane (land)
942,AGR,,,,,,,,,,Malta,FL-183,Aeroplane (land)
1576,AGS,,,,,,,,,,Malta,19000071,Aeroplane (land)
1558,AGZ,,,,,,,,,,Malta,14500999,Aeroplane (land)
506,AHA,,,,,,,,,,Malta,24647,Aeroplane (land)
1488,AHQ,,,,,,,,,,Malta,,
897,AHS,,,,,,,,,,Malta,,
1437,AHU,,,,,,,,,,Malta,,
1927,AHUB,,,,,,,,,,Malta,,
1438,AHV,,,,,,,,,,Malta,,
2248,AIA,,,,,,,,,,Malta,,
1674,AIP,,,,,,,,,,Malta,,
1675,AIQ,,,,,,,,,,Malta,,
1682,AIS,,,,,,,,,,Malta,,
1684,AIT,,,,,,,,,,Malta,,
1685,AIU,,,,,,,,,,Malta,,
1702,AIW,,,,,,,,,,Malta,,
1739,AIY,,,,,,,,,,Malta,,
