3A,Monaco
3B,Mauritius
3C,Equatorial Guinea
3D,Swaziland
3X,Guinea
4K,Azerbaijan
4L,Georgia
4R,Sri Lanka
4W,Yemen
4X,Israel
5A,Libyan Arab Jamahiriya
5B,Cyprus
5H,United Republic of Tanzania
5N,Nigeria
5R,Madagascar
5T,Mauritania
5U,Niger
5V,Togo
5W,Samoa
5X,Uganda
5Y,Kenya
6O,Somalia
6V,Senegal
6W,Senegal
6Y,Jamaica
7P,Lesotho
7QY,Malawi
7T,Algeria
8P,Barbados
8Q,Maldives
8R,Guyana
9A,Croatia
9G,Ghana
9H,Malta
9J,Zambia
9K,Kuwait
9L,Sierra Leone
9M,Malaysia
9N,Nepal
9Q,Republic of Zaire
9U,Burundi
9V,Singapore
9XR,Rwanda
9Y,Trinidad and Tobago
A2,Botswana
A3,Tonga
A40,Oman
A5,Bhutan
A6,United Arab Emirates
A7,Qatar
A9C,Bahrain
AP,Pakistan
B,China
C,Canada
CF,Canada
C2,Nauru
C5,Gambia
C6,Bahamas
C9,Mozambique
CC,Chile
CCCP,Union of Soviet Socialist Republics
CN,Morocco
CP,Bolivia
CR,Portugal
CS,Portugal
CU,Cuba
CX,Uruguay
D,Federal Republic of Germany
D2,Angola
D4,Cape Verde
DQ,Fiji
EC,Spain
EI,Ireland
EJ,Ireland
EK,Armenia
EL,Liberia
EP,Iran
ER,Republic of Moldova
ES,Estonia
ET,Ethiopia
EW,Belarus
EX,Kyrgyzstan
EY,Tajikistan
EZ,Turkmenistan
F,France
G,United Kingdom
H4,Solomon Islands
HA,Hungary
HB,Liechtenstein
HB,Switzerland
HC,Ecuador
HH,Haiti
HI,Dominican Republic
HK,Columbia
HL,Republic of Korea
HP,Panama
HR,Honduras
HS,Thailand
HZ,Saudi Arabia
I,Italy
J2,Djibouti
J3,Grenada
J5,Guinea Bissau
J6,Saint Lucia
J7,Dominica
J8,Saint Vincent and the Grenadines
JA,Japan
JY,Jordan
LN,Norway
LQ,Argentina
LV,Argentina
LX,Luxembourg
LY,Lithuania
LZ,Bulgaria
N,United States
OB,Peru
OD,Lebanon
OE,Austria
OH,Finland
OK,Czech Republic
OM,Slovakia
OO,Belgium
OY,Denmark
P,Democratic People's Republic of Korea
P2,Papua New Guinea
P4,Aruba
PH,Kingdom of the Netherlands
PJ,Netherlands Antilles
PK,Indonesia
PK,West Iran
PP,Brazil
PR,Brazil
PT,Brazil
PU,Brazil
PZ,Suriname
RA,Russian Federation
RDPL,Lao People's Democratic Republic
RP,Philippines
S2,Bangladesh
S7,Seychelles
S9,Sao Tome and Principe
SE,Sweden
SP,Poland
ST,Sudan
SU,Arab Republic of Egypt
SX,Greece
T7,San Marino
T9,Bosnia and Herzegovina
TC,Turkey
TF,Iceland
TG,Guatemala
TI,Costa Rica
TJ,Cameroon
TL,Central African Republic
TN,Congo
TR,Gabon
TS,Tunisia
TT,Chad
TU,Ivory Coast
TY,Benin
TZ,Mali
UK,Uzbekistan
UN,Kazakhstan
UR,Ukraine
V2,Antigua and Barbuda
V3,Belize
V4,Saint Kitts and Nevis
V5,Namibia
V6,Federated States of Micronesia
V7,Marshall Islands
V8,Brunei Darussalam
VH,Australia
VP,United Kingdom Colonies and Protectorates
VQ,United Kingdom Colonies and Protectorates
VR,United Kingdom Colonies and Protectorates
VT,India
XA,Mexico
XB,Mexico
XC,Mexico
XT,Burkina Faso
XU,Cambodia
XV,Viet-Nam
YA,Afghanistan
YI,Iraq
YJ,Vanuatu
YK,Syrian Arab Republic
YL,Latvia
YN,Nicaragua
YR,Romania
YS,El Salvador
YU,Yugoslavia
YV,Venezuela
Z,Zimbabwe
Z3,Macedonia
ZK,New Zealand
ZL,New Zealand
ZM,New Zealand
ZP,Paraguay
ZS,South Africa
ZT,South Africa
ZU,South Africa
