Company IMO,Name,Address,City,Region,Postal Code,Country,Status
1485357,Anijet e Sherbimit Detar,"Lagjia 1, Rruge Taulantia",Durres,,,Albania,Active
4047168,Lestemar-Sociedade Pesca Lda,Sesimbra,Estremadura,,,Portugal,Active
4119655,Atlanticoline SA,"Gare Maritima do Terminal Oceanico, Avenida do Infante Dom Henrique 21",Ponta Delgada,,9500-770,Azores,Active
5155117,Fisktrans AS ,Kongens gate 18,Bodo,,8006,Norway,Active
5199561,Rafaelo 2002 JSC,"Kthesa e Kamzes, Rruga Kastriotet",Tirane,,,Albania,Active
5423591,Blumare Co ShPK,"Room 304, 3rd Floor, Crystal Tower, Rruge Skenderbeg 48",Durres,,2001,Albania,Active
5940031,Novo Banco SA,Avenida da Liberdade 195,Lisbon,,,Portugal,Active
5940031,Novo Banco SA,Avenida da Liberdade 195,Lisbon,,,Portugal,Active
0516511,United States Govt Coast Guard,"2100, 2nd Street SW",Washington,Washington DC,20593-0005,USA,Active
3003309,Belgium Govt Min of Defence,"2nd Floor, Blok 4B, Kwartier Konningen Elisabeth, Everstraat 1",Brussels,,1140,Belgium,Active
